unique_id_num,unique_id,date_tagged,tagging_crew,tagger,use,total_length,year,date_detected,time_detected,flight_num,flight_day,antenna,mort,power,hits,latitude,longitude,highest_signal,current_fate,current_fate_num,fate_detailed,fate_detailed_num,final_fate_simplified,notes,tagging_section,survey_section,season,season_use,spawning_season,tagging_habitat,life_history,section_most_occupied,homerange,cumulative_distance_traveled,cumulative_distance_traveled_per_obs,mean_upriver_position,,unique_id_num,unique_id,time_detected
8,10-8,9/24/2018,"BC, HS",,Y,717,2018,9/24/2018,12:00:00 AM,0.1,0,NA,NA,0,0,64.89468,-151.25698,NA,alive,0,dead,1,Mortality,,Lower,Lower,0_Tagging,Y,,mainstem,mainstem,Lower,,,,,,8,10-8,12:00:00 AM
8,10-8,9/24/2018,"BC, HS",,Y,717,2019,5/19/2019, 5:29:39 PM,3,1,belly,TRUE,81,1,64.907305,-151.457215,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,8,10-8, 5:29:39 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2019,7/26/2019, 4:06:34 PM,4,2,wing,TRUE,56,1,64.912257,-151.468695,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,3_summer,Y,,mainstem,mainstem,Lower,,,,,,8,10-8, 4:06:34 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2019,12/18/2019, 1:15:13 PM,6,2,belly,TRUE,85,18,64.907138,-151.455142,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,8,10-8, 1:15:13 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2020,1/15/2020,11:30:14 AM,7,1,left,TRUE,91,24,64.903142,-151.44943,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,8,10-8,11:30:14 AM
8,10-8,9/24/2018,"BC, HS",,Y,717,2020,2/8/2020,12:42:26 PM,8,2,wing,TRUE,99,13,64.907213,-151.455082,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2019_2020,mainstem,mainstem,Lower,,,,,,8,10-8,12:42:26 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2020,5/27/2020, 3:46:16 PM,9,1,belly,TRUE,57,1,64.91218,-151.466067,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,2_spring,Y,,mainstem,mainstem,Lower,,,,,,8,10-8, 3:46:16 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2020,10/22/2020, 1:05:52 PM,11,1,belly,TRUE,98,4,64.912693,-151.469053,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,4_fall,Y,,mainstem,mainstem,Lower,,,,,,8,10-8, 1:05:52 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2021,1/13/2021, 1:08:41 PM,12,1,left,TRUE,68,10,64.90179,-151.45219,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,8,10-8, 1:08:41 PM
8,10-8,9/24/2018,"BC, HS",,Y,717,2021,1/27/2021, 1:15:11 PM,13,2,left,TRUE,94,8,64.908648,-151.452491,TRUE,dead,1,dead,1,Mortality,,Lower,Lower,1_winter,N,2020_2021,mainstem,mainstem,Lower,,,,,,8,10-8, 1:15:11 PM
