"","Tagging_Date","Unique_fish_number","Frequency_tag_ID_Identifier","Section_Tagged","Final_Fate","Last_Date_Found_Alive","Days_Alive","Home_Range_RKM","Cumulative_Distance_Traveled_RKM","Cumulative_Distance_Traveled_per_Observation_Interval","Section_Most_Occupied","Mean_Upriver_Position","Life_History"
"243","9/27/2018",243,"34-36","Middle","",2018-09-27,0,0,0,NA,"Middle",335.654587901191,"mainstem"
"244","9/19/2018",244,"34-37","Middle","",2018-09-19,0,0,0,NA,"Lower",160.110781353716,"mainstem"
"245","9/27/2018",245,"34-38","Middle","",2018-09-27,0,0,0,NA,"Middle",335.654587901191,"mainstem"
"246","5/14/2019",246,"34-38.2","Upper","",2019-10-07,146,36.6478647407858,36.6478647407858,36.6478647407858,"Upper",929.754270860251,"mainstem"
"247","9/19/2018",247,"34-39","Middle","",2018-09-19,0,0,0,NA,"Middle",344.724582793828,"mainstem"
"248","5/17/2019",248,"34-39.2","Upper","",2019-05-17,0,0,0,NA,"Upper",881.689882412051,"mainstem"
"249","9/26/2018",249,"34-40","Middle","",2020-02-05,497,146.210472856686,314.148015026663,62.8296030053327,"Middle",355.814419730853,"tributary"
"250","9/19/2018",250,"34-41","Middle","",2018-09-19,0,0,0,NA,"Middle",344.724582793828,"mainstem"
"251","9/17/2018",251,"34-42","Middle","",2019-07-26,312,275.894519937114,310.158934110904,77.5397335277259,"Lower",133.340290413517,"mainstem"
"252","9/18/2018",252,"34-43","Middle","",2020-02-05,505,9.55764802672403,23.9218966012642,3.4174138001806,"Middle",357.030604098784,"mainstem"
"253","9/19/2018",253,"34-44","Middle","",2021-01-16,850,145.461765403225,341.500632536383,34.1500632536383,"Middle",367.410635978144,"tributary"
"254","5/3/2019",254,"34-45","Middle","",2019-07-25,83,30.434404906331,31.0365857150822,15.5182928575411,"Middle",475.1763977426,"mainstem"
"255","5/22/2019",255,"34-46","Middle","",2021-01-13,602,79.1786442284892,204.19793293861,22.6886592154011,"Middle",363.324963904158,"tributary"
"256","5/3/2019",256,"34-47","Middle","",2021-01-13,621,291.732340945334,372.335760604349,53.1908229434785,"Middle",502.824316040587,"tributary"
"257","5/9/2019",257,"34-48","Middle","",2019-05-09,0,0,0,NA,"Middle",283.714119806152,"mainstem"
"258","5/9/2019",258,"34-49","Middle","",2021-01-27,629,192.866734935482,212.674226181673,70.8914087272242,"Middle",286.920280680196,"mainstem"
"259","5/7/2019",259,"34-50","Middle","",2021-01-26,630,92.519904252077,140.513875533085,15.6126528370094,"Middle",377.909648294955,"mainstem"
"260","5/9/2019",260,"34-51","Middle","",2021-01-16,618,28.3619777647891,86.8816143345494,9.65351270383882,"Middle",348.553823446782,"tributary"
"261","5/10/2019",261,"34-52","Middle","",2019-07-26,77,39.4054955357493,39.4054955357493,19.7027477678746,"Middle",317.143079635497,"mainstem"
"262","5/9/2019",262,"34-53","Middle","",2020-01-21,257,16.9192030985584,16.9192030985584,8.45960154927918,"Middle",350.190134405738,"mainstem"
"263","5/7/2019",263,"34-54","Middle","",2019-05-20,13,14.2640637997473,14.2640637997473,14.2640637997473,"Middle",338.787529176698,"mainstem"
"264","5/8/2019",264,"34-55","Middle","",2021-01-13,616,38.9998058306179,72.7875809362915,18.1968952340729,"Middle",345.342394216539,"mainstem"
